Line	Environment	RI_956	RI_972	RI_978	RI_982	RI_993	RI_1033	RI_1040	Pyruvate	RI_1047	X2_hydroxibutyrate	RI_1062	Glycolate	RI_1076	RI_1084	Alanine	Hydroyxlamine	RI_1152	RI_1155	RI_1158	RI_1160	RI_1161	Monomethylphosphate	RI_1182	Valine	RI_1215	Urea	Benzoate	ethanolamine	Phosphorate	RI_1271	RI_1276	Isoleucine	RI_1291	Proline	Nicotinate	Glycine	Succinate	Glycerate	RI_1329	Fumarate	Serine	Threonine.	X2_Hydroxyethyl_methanamine	RI_1435	Malate	RI_1493	RI_1505	Aspartate	Methonione	X4_hydroxy.proline	Pyroglutamate	GABA	N_Acetylglutamate	RI_1539	Threonate	RI_1553	RI_1555	glutarate	X2_Oxoglutarate	RI_1578	RI_1590	RI_1595	Glutamate	RI_1616	Phenylalanine	RI_1624	RI_1625	RI_1628	RI_1632	Xylose	RI_1644	Arabinose	Asparagine.	RI_1674	X1_6_Anhydroglucose	RI_1698	RI_1705	RI_1707	Putrescine	Pentonate	RI_1746	D_Xylofuranose	RI_1762	glutamine	RI_1785	RI_1793	RI_1796	RI_1800	citrate	RI_1815	RI_1831	Ascorbate	Fructose	Mannose	Allantoin	glucopyranose	Glucose.	Lysine	Mannitol	Glucuronate	Tyrosine	RI_1944	RI_1960	RI_1972	RI_1977	Gluconate	Hexonate	RI_2010	RI_2037	RI_2048	RI_2062	Myo_inositol	RI_2166	RI_2175	RI_2184	Trans_Sinapinate	Fructose_6_phosphate	Glucose_6_phosphate	RI_2316	RI_2353	RI_2364	RI_2395	RI_2414	RI_2446	RI_2455	RI_2506	RI_2512	RI_2545	RI_2574	RI_2587	Sucrose	RI_2613	RI_2628	RI_2681	RI_2699	Maltose	RI_2793	RI_2817	RI_2819	RI_2875	RI_2878	RI_2905	RI_2940	Galactinol	RI_2964	RI_2968	RI_2970	RI_2983	RI_3027	Trehalose	RI_3066	RI_3078	Digalactosylglycerol	RI_3083	RI_3105	RI_3145	RI_3201	RI_3203	RI_3315	Raffinose	RI_3455
13	1	2772.876911	70.39207252	161.7115179	245.4210096	18.07364024	286.3245112	23.78110558	107.4905972	110.3443299	1438.281266	12.3661749	129.3692144	17.12239602	111.2955741	434.71861	959.8054212	130.3204586	881.8033949	15.21990757	4244.451724	15.21990757	59.92838606	109.3930857	417.596214	6048.010771	13.31741913	162.6627622	320.5693032	5128.157607	310.1056168	106.539353	150.2965873	82.75824742	15.21990757	64.68460718	481.329577	380.4976893	281.5682901	23.78110558	294.8857092	13.31741913	125.5642375	664.919712	214.0299502	15676.5048	10.46368646	166.4677391	124.6129932	17.12239602	26.63483825	1228.056292	64.68460718	1496.307163	1547.674351	408.0837718	224.4936367	143.6378777	282.5195343	45.65972271	8.561198009	168.3702275	11.41493068	2074.663651	355.7653395	8.561198009	47.56221116	2125.079595	64.68460718	28.5373267	16.17115179	1990.954159	148.3940988	81.8070032	3171.44824	587.86893	23.78110558	146.4916104	66.58709563	16.17115179	50.41594383	483.2320654	4826.613189	459.4509598	400.473818	183.5901351	4011.396889	28.5373267	712.4819232	6989.742552	36.14728048	166.4677391	457.5484714	7365.48402	4743.854941	10.46368646	144.5891219	10301.97494	552.6728937	1036.856203	398.5713295	52.31843228	323.4230359	941.731781	1256.593619	59304.36985	19576.60611	439.4748311	370.0340028	670.6271774	457.5484714	8667.737362	7405.436278	1255.642375	229.2498578	365.2777817	2135.543281	31.39105937	1722.703288	352.9116068	4329.11246	37.09852471	293.934465	318.6668148	285.373267	8134.089353	2148.8607	10432.2954	244.4697654	365.2777817	12117.90016	429188.0761	8252.043636	178.833914	282.5195343	529.8430323	27129.48525	1491.550942	216.8836829	436.6210985	19.02488446	1746.484394	278.7145574	4967.397334	3919.1262	7831.59369	331.9842339	16.17115179	2795.706772	253.9822076	8921.71957	1658.969925	2832.805297	5173.81733	4726.732545	539.3554746	218.7861713	8896.035976	15.21990757	505.1106825	9775.936882	684.8958407
30	1	2532.559367	159.710951	117.0552312	250.9743516	9.919934848	365.0536024	18.84787621	29.75980454	70.43153742	535.6764818	13.88790879	59.51960909	28.76781106	185.5027817	294.622065	524.7645534	10.91192833	427.5491919	15.87189576	6761.427592	16.86388924	40.67173288	87.29542666	324.3818695	27515.91528	9.919934848	9.919934848	232.1264754	3283.498435	100.191342	123.0071921	31.74379151	134.9111139	22.81585015	146.8150357	391.8374265	229.150495	166.6549054	22.81585015	330.3338304	25.7918306	10.91192833	1131.864566	218.2385667	11767.02672	15.87189576	294.622065	27.77581757	17.85588273	13.88790879	964.2176672	203.3586644	1514.774051	1382.838918	1118.968651	494.0127554	84.31944621	135.9031074	35.71176545	10.91192833	186.4947751	8.927941363	774.7469116	628.9238694	18.84787621	30.75179803	9.919934848	359.1016415	29.75980454	22.81585015	1526.677973	119.0392182	15.87189576	2611.918845	578.3322016	27.77581757	217.2465732	85.31143969	25.7918306	86.30343318	499.9647163	6610.644583	214.2705927	910.650019	14.87990227	168.6388924	17.85588273	19.8398697	10571.67457	58.5276156	27.77581757	479.1328531	709.2753416	1678.452976	23.80784363	141.8550683	8122.442653	810.4586771	703.3233807	79.35947878	28.76781106	273.7902018	893.7861298	3068.235848	36119.47477	11.90392182	1283.639569	317.4379151	546.5884101	668.6036087	9723.520138	4963.935398	1557.429771	219.2305601	624.9558954	2642.670643	13.88790879	16.86388924	609.0839997	79.35947878	13.88790879	73.40751787	17.85588273	621.979915	22.81585015	655.7076934	11744.21087	255.9343191	643.8037716	213.2785992	433874.1424	19.8398697	23.80784363	834.2665207	590.2361234	60908.39997	919.5779604	13.88790879	593.2121039	30.75179803	1166.584338	529.7245209	3910.438317	6693.972035	4532.418232	222.2065406	17.85588273	432.5091594	644.7957651	5192.093899	1680.436963	2358.960507	4297.315776	3717.991581	132.927127	17.85588273	158.7189576	14.87990227	170.6228794	7341.743781	350.1737001
32	1	2682.381693	127.5426659	143.4854992	258.0746131	28.89638525	340.7780606	60.78205174	23.91424986	312.8781024	585.8991217	29.89281233	109.6069785	14.94640617	103.6284161	534.0849137	992.4413694	113.5926869	324.8352273	23.91424986	4659.293015	16.93926032	34.87494772	160.4247595	497.2171118	6852.429013	9.964270777	10.96069785	273.0210193	4662.282297	181.3497281	75.72845791	168.3961761	12.95355201	81.70702037	127.5426659	412.5208102	282.9852901	162.4176137	17.9356874	268.0388839	128.539093	190.3175718	939.6307343	202.2746968	15760.48709	31.88566649	152.4533429	2082.532592	21.92139571	21.92139571	1400.976471	59.78562466	1244.53742	2366.51431	496.2206847	302.9138316	227.1853737	130.5319472	42.84636434	10.96069785	194.3032802	141.492645	3522.36972	661.6275796	112.5962598	27.89995818	26.9035311	102.631989	24.91067694	27.89995818	8183.655589	123.5569576	146.4747804	15498.42677	995.4306506	15.94283324	210.2461134	63.77133297	11.95712493	54.80348927	522.1277887	6041.337372	281.988863	971.5164008	23.91424986	204.2675509	64.76776005	29.89281233	14582.71028	31.88566649	17.9356874	644.6883193	766.2524228	1477.701356	1248.523128	77.72131206	8269.348318	824.0451933	632.7311943	57.79277051	129.5355201	867.8879847	558.9955906	1948.014937	66063.11525	14.94640617	1373.076513	364.6923104	1748.729521	678.5668399	9393.318062	5708.530728	1721.82599	273.0210193	619.7776423	2108.439696	8.967843699	22.91782279	622.7669236	112.5962598	80.71059329	70.74632252	79.71416622	577.9277051	23.91424986	4315.525674	12266.01733	271.0281651	606.8240903	83.69987453	431623.3137	16.93926032	410.527956	356.7208938	850.9487244	20306.18742	663.6204338	15.94283324	557.0027364	9.964270777	1016.355619	255.0853319	4024.568967	6625.24364	7403.453187	294.942415	16.93926032	122.5605306	336.7923523	23838.52141	2611.635371	2651.492454	4441.075485	12300.89227	104.6248432	26.9035311	9.964270777	9.964270777	912.7272032	4594.525255	1075.144817
45	1	2874.141436	101.3388203	162.788956	255.5031959	30.18603158	337.4367102	32.3421767	23.71759625	145.5397951	2175.550419	15.09301579	134.7590696	21.56145113	134.7590696	496.9914486	1001.529405	139.0713598	1109.336661	11.85879812	4962.367978	24.7956688	33.42024925	182.1942621	752.4946445	34941.40963	66.84049851	15.09301579	374.0911771	6000.55185	229.6294546	104.573038	523.9432625	33.42024925	375.1692497	163.8670286	466.805417	318.0314042	216.6925839	19.40530602	187.5846248	189.74077	292.1576628	766.5095877	239.3321076	13539.51324	17.24916091	150.9301579	722.3086129	15.09301579	15.09301579	1110.414733	381.637685	1033.871582	1308.780084	465.7273444	294.3138079	105.6511105	631.7505182	58.21591806	33.42024925	221.0048741	90.55809475	2138.895952	580.0030354	25.87374136	30.18603158	19.40530602	728.7770483	39.88868459	24.7956688	1534.097248	175.7258267	92.71423987	3144.737648	993.9828972	20.48337858	250.1128331	73.30893385	18.32723346	105.6511105	557.3635118	6692.674431	438.7755305	988.5925344	380.5596125	126.1344891	19.40530602	269.5181391	9330.717977	31.26410414	117.5099087	525.0213351	8633.205033	5155.342966	24.7956688	122.9002715	11429.72525	865.6922629	623.1259377	431.2290226	81.9335143	278.1427196	861.3799727	1925.437586	71057.91835	20260.21756	1364.839857	520.7090448	587.5495433	712.6059599	10240.61122	9459.008612	2274.733094	222.0829467	472.1957798	2149.676678	36.65446692	17.24916091	457.102764	104.573038	32.3421767	49.5913376	17.24916091	420.4482971	15.09301579	2079.601962	11794.11377	323.421767	402.1210636	619.89172	452483.2231	12.93687068	112.1195459	1513.613869	456.0246914	92806.95411	1907.110353	18.32723346	476.50807	16.17108835	1387.47938	1051.120743	3467.081342	10761.32026	5305.195051	200.5214955	236.0978899	959.4845754	374.0911771	5843.153257	2076.367744	2245.625135	4080.504627	4307.977936	62.52820828	22.63952369	106.7291831	19.40530602	245.8005429	5653.412487	519.6309723
48	1	2811.294565	18.69211812	102.8066497	234.5860824	11.21527087	361.6924856	24.29975356	12.14987678	91.59137879	596.278568	21.49593584	100.9374378	16.82290631	145.7985213	385.0576333	622.4475334	21.49593584	260.7550478	14.01908859	10446.09021	23.36514765	44.86108349	55.14174845	289.7278309	33155.14451	14.01908859	23.36514765	314.0275844	3377.665744	153.2753686	120.5641619	22.43054174	315.8967962	11.21527087	99.06822603	429.9187168	258.885836	155.1445804	28.97278309	116.8257382	15.8883004	14.01908859	1243.025855	264.4934714	15895.77725	19.62672403	531.7907605	23.36514765	22.43054174	16.82290631	1223.399131	664.5047992	1872.950236	1936.503437	594.4093562	493.4719184	155.1445804	196.2672403	44.86108349	10.28066497	244.8667474	17.75751221	274.7741364	602.8208094	13.08448268	10.28066497	11.21527087	1177.603442	49.53411302	28.97278309	1685.094448	106.5450733	12.14987678	5424.452678	1067.319945	27.10357127	245.8013533	68.22623114	13.08448268	101.8720438	491.6027065	9222.69108	285.9894072	781.3305374	56.07635436	262.6242596	109.348891	44.86108349	8169.390224	78.5068961	27.10357127	769.1806606	979.4669895	2445.863656	26.16896537	158.883004	10876.00893	725.254183	927.1290587	105.6104674	14.01908859	755.161572	971.0555363	3822.538155	52814.57975	14.9536945	571.9788145	451.4146526	1301.906027	574.7826322	12361.09771	5951.570409	2433.713779	157.9483981	580.3902676	1987.906762	12.14987678	25.23435946	646.7472869	200.9402698	25.23435946	43.92647758	13.08448268	643.9434692	22.43054174	1011.24359	11300.32001	241.1283237	616.8398979	460.7607116	428436.4318	8032.937762	59.81477798	1357.982381	647.6818928	79178.87775	1232.74519	21.49593584	671.9816464	15.8883004	1388.824376	1500.042479	953.2980241	4773.032362	6417.938756	249.5397769	17.75751221	1454.24679	815.9109559	5577.728047	2133.705283	2529.978187	4792.659086	5858.109819	120.5641619	11.21527087	153.2753686	8.411453154	504.6871892	5743.153292	764.5076311
49	1	2639.942579	90.86404879	167.0726058	246.2122612	15.63252452	274.5462119	170.980737	19.54065565	700.5325052	445.5269489	11.72439339	132.8764585	24.42581957	92.81811436	293.1098348	978.0098155	95.74921271	293.1098348	18.56362287	4475.787178	9.770327827	25.40285235	130.9223929	345.8696051	196.3835893	25.40285235	92.81811436	394.7212442	4378.083899	223.7405072	77.18558984	86.95591766	11.72439339	47.87460635	73.2774587	355.6399329	249.1433596	191.4984254	15.63252452	249.1433596	37.12724574	157.302278	759.1544722	53.73680305	11675.54175	9.770327827	130.9223929	595.9899975	13.67845896	9.770327827	937.9514714	34.1961474	1134.335061	1390.31765	1046.40211	251.0974252	275.5232447	246.2122612	30.28801626	20.51768844	151.4400813	61.55306531	1622.851452	382.9968508	24.42581957	20.51768844	27.35691792	18.56362287	14.65549174	12.70142618	7735.168541	119.1979995	36.15021296	15693.10056	1055.195405	12.70142618	173.9118353	79.1396554	20.51768844	28.3339507	463.113539	6107.431925	267.7069825	552.0235222	35.17318018	17.58659009	10.74736061	37.12724574	7535.853853	21.49472122	13.67845896	543.2302272	902.7782912	1344.397109	856.8577504	105.5195405	8192.419883	550.0694567	977.0327827	11.72439339	82.07075375	1053.24134	674.1526201	1815.32691	57948.79138	13.67845896	744.4989804	320.4667527	2172.920909	445.5269489	8595.934422	6522.670857	1570.091682	188.5673271	371.2724574	1979.468418	32.24208183	11.72439339	402.5375065	107.4736061	110.4047044	65.46119644	46.89757357	332.1911461	14.65549174	13862.14112	8885.136126	315.5815888	348.8007034	49.82867192	407587.7889	8725.879783	1201.750323	365.4102607	1282.844044	1951.134467	178.7969992	15.63252452	270.6380808	19.54065565	606.7373581	206.1539172	4544.179472	8810.881635	6125.995548	442.5958506	20.51768844	24.42581957	337.07631	28882.06609	2694.656415	2325.338023	23.44878679	15592.46618	177.8199665	59.59899975	28.3339507	26.37988513	1647.277272	5659.95091	1661.932763
71	1	2546.307953	153.3799672	134.3327818	237.5885767	14.03476824	250.6208615	26.0645696	19.04718547	216.5364243	683.6937101	10.02483446	101.250828	23.05711926	128.3178811	507.2566237	735.8228493	168.4172189	179.4445368	12.02980135	1002.483446	17.04221858	28.06953649	165.4097686	478.1846037	22.05463581	97.24089426	29.07201993	227.5637422	3447.540571	62.15397365	14.03476824	126.3129142	31.07698682	238.5910601	105.2607618	451.1175507	244.6059608	225.5587753	29.07201993	623.5447034	381.9461929	318.7897358	459.1374183	81.20115912	15705.90815	22.05463581	58.14403987	4078.102658	13.0322848	17.04221858	1135.813744	31.07698682	620.5372531	2082.158117	633.5695378	277.6879145	204.506623	122.3029804	40.09933784	29.07201993	175.434603	116.2880797	4372.832791	479.1870872	436.080299	52.12913919	64.15894054	10.02483446	29.07201993	19.04718547	11900.48099	129.3203645	608.5074517	5445.490078	380.9437095	18.04470203	146.3625831	84.20860946	25.06208615	79.19619223	488.2094382	3862.568717	565.4006635	741.83775	404.0008287	26.0645696	21.05215237	727.8029818	10537.1035	27.06705304	391.9710274	262.6506628	7144.699519	4892.119216	1192.955301	232.5761595	8645.417238	784.9445382	391.9710274	664.6465247	68.16887433	1060.627486	1253.104307	1440.568712	46126.26832	19125.37918	502.2442064	271.6730139	1883.666395	642.5918889	9832.357638	8387.778992	1333.302983	218.5413912	557.380796	3352.304643	34.08443716	1133.808777	482.1945375	89.22102669	55.13658953	274.6804642	76.18874189	453.1225176	46.11423851	1956.847687	11282.95118	286.7102655	463.147352	74.183775	441037.5796	8945.159788	463.147352	214.5314574	657.6291406	90.22351014	89.22102669	16.03973514	413.0231797	28.06953649	556.3783125	181.4495037	8583.263264	4694.629977	5802.374185	317.7872524	10.02483446	77.19122534	271.6730139	26932.72026	2577.38494	2711.717721	4990.362594	5263.038091	605.5000014	66.16390743	35.08692061	17.04221858	937.322022	8693.536443	839.0786443
73	1	2665.075243	170.5069465	156.0396904	269.7109881	19.63413323	272.8111144	17.56738237	100.237417	93.003789	1438.458603	19.63413323	131.23868	11.36712977	72.33628034	453.6518152	742.9969366	229.4093462	740.9301857	21.7008841	2344.728858	17.56738237	39.26826647	206.6750867	336.8803913	3202.430468	63.03590144	249.0434794	273.8444898	3187.963212	109.5377959	58.9023997	89.9036627	16.53400693	155.006315	65.1026523	382.3489103	275.9112407	188.0743289	15.5006315	636.559267	202.5415849	260.4106092	666.5271545	323.4465106	19216.64956	13.43388063	81.63665924	2143.220649	31.001263	23.76763497	713.029049	35.13476473	914.5372585	1886.943541	669.6272808	326.5466369	122.9716766	122.9716766	31.001263	17.56738237	93.003789	85.77016097	2870.716954	519.787843	66.13602774	101.2707925	3338.836025	57.86902427	36.16814017	17.56738237	1901.410797	117.8047994	16.53400693	1896.24392	521.8545939	25.83438583	125.0384274	64.06927687	17.56738237	74.4030312	508.4207132	4640.889071	425.7506785	758.4975681	40.3016419	4979.836213	11.36712977	145.7059361	16977.32499	68.2027786	14.46725607	547.6889797	2827.315186	2462.533658	12.4005052	79.56990837	8043.794373	701.6619193	546.6556043	316.2128826	67.16940317	370.9817806	538.3886008	2022.315723	50155.91003	17.56738237	744.030312	313.1127563	724.3961788	566.2897375	8972.798888	8256.669713	1383.689705	261.4439846	531.1549728	2968.88762	18.6007578	1014.774676	503.253836	3956.794534	31.001263	258.3438583	636.559267	421.6171768	4595.420552	753.3306909	11709.17704	302.779002	488.78658	5131.742402	436281.8076	24.8010104	60.96915057	303.8123774	504.2872115	9717.862575	1327.887432	162.239943	447.4515626	16.53400693	1441.55873	199.4414586	7548.807541	15075.9142	5638.096364	225.2758445	28.93451213	2922.385726	396.8161664	5392.153011	1948.946067	2787.013544	5281.58184	14.46725607	441.25131	29.96788757	6171.318088	111.6045468	263.5107355	6962.88367	434.017682
78	1	2793.051292	148.5549377	155.108832	274.1712453	13.10778862	334.2486098	24.0309458	17.47705149	43.69262873	826.8829987	16.38473577	100.4930461	33.86178727	86.29294174	499.1882832	865.1140489	61.16968022	326.6023998	31.67715583	2507.956889	26.21557724	45.87726017	187.8783035	512.2960719	22830.49083	64.44662738	25.12326152	285.0944025	3949.813637	143.0933591	69.90820597	209.7246179	14.20010434	85.20062602	125.6163076	323.3254526	282.909771	288.3713496	9.830841464	267.617351	234.8478794	311.3099797	802.8520529	417.2646044	15478.11373	29.49252439	120.154729	2678.358141	13.10778862	15.29242006	1251.793813	119.0624133	893.5142575	2690.373614	558.173332	337.5255569	133.2625176	154.0165163	75.36978456	28.40020867	121.2470447	69.90820597	3075.961063	509.0191247	155.108832	22.93863008	67.72357453	151.8318848	37.13873442	29.49252439	3085.791904	172.5858835	100.4930461	2264.370484	484.9881789	17.47705149	194.4321979	81.92367887	30.58484011	74.27746884	543.9732277	4892.482102	607.3275394	784.2826857	409.6183943	240.309458	87.38525746	743.8670041	16072.33348	17.47705149	235.9401951	369.2027128	8739.618062	5569.717847	19.66168293	239.2171423	10984.32686	864.0217331	789.7442643	395.41829	57.89273307	399.7875529	1320.609703	2066.661339	49766.99644	23000.89208	938.299202	351.7256613	898.9758361	628.081538	10034.01219	7219.114582	1684.350838	334.2486098	576.7426992	2562.572675	42.60031301	12.0154729	525.4038605	73.18515312	18.56936721	84.10831031	10.92315718	516.6653347	17.47705149	497.0036518	10383.55322	285.0944025	522.1269133	147.462622	474013.6829	18.56936721	148.5549377	408.5260786	527.5884919	58445.44482	1493.195587	14.20010434	497.0036518	18.56936721	2148.585018	372.4796599	2422.756263	7295.576682	9860.333989	373.5719756	16.38473577	247.955668	527.5884919	10536.47742	1958.522083	2872.790339	5364.362492	19.66168293	121.2470447	21.84631437	327.6947155	24.0309458	407.4337629	5433.178383	672.8664825
80	1	2000.353591	131.4423398	104.9329603	223.1206104	26.50937945	229.7479552	16.56836216	16.56836216	260.6755646	564.4288708	33.13672431	113.7694201	9.941017294	92.78282808	360.0857375	770.981119	46.39141404	313.6943235	20.98659206	2798.948647	19.88203459	17.67291963	174.5200814	449.5548932	11.04557477	33.13672431	20.98659206	175.6246389	3099.388281	90.57371312	49.70508647	150.2198169	26.50937945	55.22787385	87.26004069	330.2626857	267.3029095	168.997294	26.50937945	303.7533062	235.2707426	214.2841506	829.5226653	88.36459817	13446.88273	17.67291963	91.6782706	2473.104191	32.03216684	16.56836216	935.5601831	12.15013225	989.6834995	2405.726185	456.182238	328.0535707	331.3672431	82.84181078	34.24128179	13.25468973	102.7238454	19.88203459	2868.535768	520.2465717	142.4879145	12.15013225	28.7184944	25.40482197	16.56836216	24.3002645	14495.10777	184.4610987	144.6970295	6186.626429	933.3510681	19.88203459	171.2064089	79.52813835	11.04557477	70.69167853	409.790824	5285.307528	283.8712716	682.6165208	193.2975585	13.25468973	19.88203459	361.190295	10128.79206	48.60052899	303.7533062	511.4101119	8025.714629	4868.889359	18.77747711	119.2922075	9925.553489	759.9355442	520.2465717	246.3163174	114.8739776	1528.707548	795.2813835	1973.844212	55433.32155	18308.04018	723.4851475	308.1715361	3040.846734	637.3296643	10244.7706	7628.073937	1720.900549	198.8203459	550.0696236	2519.495605	30.92760936	894.6915564	526.8739166	143.592472	37.55495422	273.9302543	80.63269583	463.9141404	33.13672431	2093.136419	11051.09756	302.6487487	484.9007324	121.5013225	461924.8324	24.3002645	236.3753001	167.8927365	616.3430722	117.0830926	104.9329603	30.92760936	400.9543642	20.98659206	524.6648016	183.3565412	2638.787813	4237.082482	6812.910519	270.6165819	30.92760936	19.88203459	355.6675076	35994.21451	3111.538413	2451.013042	4248.128057	5612.256541	385.4905595	17.67291963	32.03216684	18.77747711	1263.613754	10129.89662	1443.656623
